GEOG_ID,AIRO_AI_ID,ED_Ward,ED_WARD_ID,County_UD,Country,Average,1 Room (Households),2 Rooms (Households),3 Rooms (Households),4 Rooms (Households),5 Rooms (Households),6 Rooms (Households),7 Rooms (Households),8 or more Rooms (Households),Total (Households),% 1 Room (Households),% 2 Rooms (Households),% 3 Rooms (Households),% 4 Rooms (Households),% 5 Rooms (Households),% 6 Rooms (Households),% 7 Rooms (Households),% 8 or more Rooms (Households),% Total (Households)
N00000308,18796,Movilla,95BB19,Ards,NI,5.7,0,1,1,2,60,22,9,15,110,0,0.9,0.9,1.8,54.5,20,8.2,13.6,100
N00000309,18797,Movilla,95BB19,Ards,NI,6.1,0,0,6,4,32,35,28,19,124,0,0,4.8,3.2,25.8,28.2,22.6,15.3,100
N00000310,18798,Portaferry,95BB20,Ards,NI,6.4,0,0,4,5,30,30,41,39,149,0,0,2.7,3.4,20.1,20.1,27.5,26.2,100
N00000311,18799,Portaferry,95BB20,Ards,NI,5,0,9,19,22,61,24,13,12,160,0,5.6,11.9,13.8,38.1,15,8.1,7.5,100
N00000312,18800,Portaferry,95BB20,Ards,NI,6.2,0,0,5,16,40,35,29,50,175,0,0,2.9,9.1,22.9,20,16.6,28.6,100
N00000313,18801,Portaferry,95BB20,Ards,NI,6.1,0,0,5,4,78,34,28,44,193,0,0,2.6,2.1,40.4,17.6,14.5,22.8,100
N00000314,18802,Portaferry,95BB20,Ards,NI,5,0,4,12,16,70,25,3,7,137,0,2.9,8.8,11.7,51.1,18.2,2.2,5.1,100
N00000315,18803,Portaferry,95BB20,Ards,NI,5.3,2,1,3,22,63,19,11,12,133,1.5,0.8,2.3,16.5,47.4,14.3,8.3,9,100
N00000316,18804,Portaferry,95BB20,Ards,NI,5.5,0,0,5,9,62,28,16,10,130,0,0,3.8,6.9,47.7,21.5,12.3,7.7,100
N00000317,18805,Portaferry,95BB20,Ards,NI,4.6,4,11,31,62,60,18,12,15,213,1.9,5.2,14.6,29.1,28.2,8.5,5.6,7,100
N00000318,18806,Portavogie,95BB21,Ards,NI,6,0,1,3,15,36,25,15,34,129,0,0.8,2.3,11.6,27.9,19.4,11.6,26.4,100
N00000319,18807,Portavogie,95BB21,Ards,NI,5.6,0,2,12,30,131,69,33,33,310,0,0.6,3.9,9.7,42.3,22.3,10.6,10.6,100
N00000320,18808,Portavogie,95BB21,Ards,NI,6,0,1,2,14,34,24,28,25,128,0,0.8,1.6,10.9,26.6,18.8,21.9,19.5,100
N00000321,18809,Portavogie,95BB21,Ards,NI,5.5,0,0,5,36,89,38,17,26,211,0,0,2.4,17.1,42.2,18,8.1,12.3,100
N00000322,18810,Portavogie,95BB21,Ards,NI,5.4,0,2,4,28,57,30,20,13,154,0,1.3,2.6,18.2,37,19.5,13,8.4,100
N00000323,18811,Portavogie,95BB21,Ards,NI,6.7,0,1,5,5,25,24,39,64,163,0,0.6,3.1,3.1,15.3,14.7,23.9,39.3,100
N00000324,18812,Portavogie,95BB21,Ards,NI,6,0,0,12,21,24,24,33,37,151,0,0,7.9,13.9,15.9,15.9,21.9,24.5,100
N00000325,18813,Portavogie,95BB21,Ards,NI,6,0,0,3,29,47,37,43,39,198,0,0,1.5,14.6,23.7,18.7,21.7,19.7,100
N00000326,18814,Portavogie,95BB21,Ards,NI,5.5,0,5,8,51,183,40,27,63,377,0,1.3,2.1,13.5,48.5,10.6,7.2,16.7,100
N00000327,18815,Scrabo,95BB22,Ards,NI,5.1,0,1,4,30,61,22,5,7,130,0,0.8,3.1,23.1,46.9,16.9,3.8,5.4,100
N00000328,18816,Scrabo,95BB22,Ards,NI,4.9,1,2,12,20,53,31,6,1,126,0.8,1.6,9.5,15.9,42.1,24.6,4.8,0.8,100
N00000329,18817,Scrabo,95BB22,Ards,NI,5.2,1,0,5,10,86,24,3,8,137,0.7,0,3.6,7.3,62.8,17.5,2.2,5.8,100
N00000330,18818,Scrabo,95BB22,Ards,NI,5.9,0,2,2,26,45,61,34,33,203,0,1,1,12.8,22.2,30,16.7,16.3,100
N00000331,18819,Scrabo,95BB22,Ards,NI,5.3,1,3,22,36,84,31,28,28,233,0.4,1.3,9.4,15.5,36.1,13.3,12,12,100
N00000332,18820,Scrabo,95BB22,Ards,NI,4.6,0,1,13,39,56,11,2,2,124,0,0.8,10.5,31.5,45.2,8.9,1.6,1.6,100
N00000333,18821,Scrabo,95BB22,Ards,NI,4.7,0,3,13,22,73,11,1,2,125,0,2.4,10.4,17.6,58.4,8.8,0.8,1.6,100
N00000334,18822,Scrabo,95BB22,Ards,NI,4.9,0,2,9,19,68,12,3,3,116,0,1.7,7.8,16.4,58.6,10.3,2.6,2.6,100
N00000335,18823,Whitespots,95BB23,Ards,NI,5.3,0,0,2,9,80,38,3,4,136,0,0,1.5,6.6,58.8,27.9,2.2,2.9,100
N00000336,18824,Whitespots,95BB23,Ards,NI,6.3,0,0,1,4,39,24,39,24,131,0,0,0.8,3.1,29.8,18.3,29.8,18.3,100
N00000337,18825,Whitespots,95BB23,Ards,NI,6.5,0,0,2,2,29,30,20,37,120,0,0,1.7,1.7,24.2,25,16.7,30.8,100
N00000338,18826,Whitespots,95BB23,Ards,NI,6,0,0,2,5,44,31,32,15,129,0,0,1.6,3.9,34.1,24,24.8,11.6,100
N00000339,18827,Whitespots,95BB23,Ards,NI,6.3,0,1,2,4,28,32,29,26,122,0,0.8,1.6,3.3,23,26.2,23.8,21.3,100
N00000340,18828,Whitespots,95BB23,Ards,NI,6.9,0,0,0,3,15,32,37,51,138,0,0,0,2.2,10.9,23.2,26.8,37,100
N00000341,18829,Whitespots,95BB23,Ards,NI,6.7,1,0,0,0,17,29,48,35,130,0.8,0,0,0,13.1,22.3,36.9,26.9,100
N00000342,18830,Whitespots,95BB23,Ards,NI,6.1,0,0,2,5,50,29,18,29,133,0,0,1.5,3.8,37.6,21.8,13.5,21.8,100
N00000343,18831,Whitespots,95BB23,Ards,NI,6.2,0,0,0,1,43,33,24,21,122,0,0,0,0.8,35.2,27,19.7,17.2,100
N00000344,18832,Abbey Park,95CC01,Armagh,NI,5.1,0,5,8,5,77,22,6,5,128,0,3.9,6.3,3.9,60.2,17.2,4.7,3.9,100
N00000345,18833,Abbey Park,95CC01,Armagh,NI,5.1,0,0,6,19,107,21,5,5,163,0,0,3.7,11.7,65.6,12.9,3.1,3.1,100
N00000346,18834,Abbey Park,95CC01,Armagh,NI,6,0,1,2,12,71,51,37,35,209,0,0.5,1,5.7,34,24.4,17.7,16.7,100
N00000347,18835,Abbey Park,95CC01,Armagh,NI,4.8,3,4,16,30,45,12,8,12,130,2.3,3.1,12.3,23.1,34.6,9.2,6.2,9.2,100
N00000348,18836,Abbey Park,95CC01,Armagh,NI,6,0,0,5,5,41,30,20,24,125,0,0,4,4,32.8,24,16,19.2,100
N00000349,18837,Abbey Park,95CC01,Armagh,NI,5.6,2,2,12,19,38,35,13,28,149,1.3,1.3,8.1,12.8,25.5,23.5,8.7,18.8,100
N00000350,18838,Ballymartrim,95CC02,Armagh,NI,6,1,1,7,8,51,39,25,37,169,0.6,0.6,4.1,4.7,30.2,23.1,14.8,21.9,100
N00000351,18839,Ballymartrim,95CC02,Armagh,NI,6.1,0,2,3,10,36,32,16,38,137,0,1.5,2.2,7.3,26.3,23.4,11.7,27.7,100
N00000352,18840,Ballymartrim,95CC02,Armagh,NI,6.5,1,2,3,7,24,22,31,52,142,0.7,1.4,2.1,4.9,16.9,15.5,21.8,36.6,100
N00000353,18841,Ballymartrim,95CC02,Armagh,NI,6.5,0,1,0,7,22,37,31,42,140,0,0.7,0,5,15.7,26.4,22.1,30,100
N00000354,18842,Ballymartrim,95CC02,Armagh,NI,6.8,0,1,1,11,12,18,26,64,133,0,0.8,0.8,8.3,9,13.5,19.5,48.1,100
N00000355,18843,Ballymartrim,95CC02,Armagh,NI,6.3,0,1,4,8,42,27,23,49,154,0,0.6,2.6,5.2,27.3,17.5,14.9,31.8,100
N00000356,18844,Callan Bridge,95CC03,Armagh,NI,5.3,1,3,10,21,45,32,29,5,146,0.7,2.1,6.8,14.4,30.8,21.9,19.9,3.4,100
N00000357,18845,Callan Bridge,95CC03,Armagh,NI,5.3,2,9,30,45,219,69,43,35,452,0.4,2,6.6,10,48.5,15.3,9.5,7.7,100
N00000358,18846,Callan Bridge,95CC03,Armagh,NI,5.2,0,0,8,18,81,17,6,10,140,0,0,5.7,12.9,57.9,12.1,4.3,7.1,100
N00000359,18847,Callan Bridge,95CC03,Armagh,NI,4.5,4,36,66,65,132,50,20,16,389,1,9.3,17,16.7,33.9,12.9,5.1,4.1,100
N00000360,18848,Carrigatuke,95CC04,Armagh,NI,6.3,0,0,7,6,31,26,21,39,130,0,0,5.4,4.6,23.8,20,16.2,30,100
N00000361,18849,Carrigatuke,95CC04,Armagh,NI,5.6,0,1,15,9,48,40,15,20,148,0,0.7,10.1,6.1,32.4,27,10.1,13.5,100
N00000362,18850,Carrigatuke,95CC04,Armagh,NI,6.5,0,0,1,7,23,29,28,38,126,0,0,0.8,5.6,18.3,23,22.2,30.2,100
N00000363,18851,Carrigatuke,95CC04,Armagh,NI,6.3,1,0,5,6,32,32,32,42,150,0.7,0,3.3,4,21.3,21.3,21.3,28,100
N00000364,18852,Carrigatuke,95CC04,Armagh,NI,6.4,0,1,3,7,30,32,35,42,150,0,0.7,2,4.7,20,21.3,23.3,28,100
