Datacode,SA_NAME,GEOGID,Electoral Division CSO Code,Electoral Division Name,County,NUTS_III,NUTS_II,Planning Region,Persons_In_Communal_Establishments_Establishments_2011,Persons_In_Communal_Establishments_Persons_2011
126,17017003,A017017003,1023,023 Cranemore,Carlow,South-East,SE,Southern,0,0
127,17017004,A017017004,1023,023 Cranemore,Carlow,South-East,SE,Southern,0,0
128,17018001,A017018001,1024,024 Fennagh,Carlow,South-East,SE,Southern,0,0
129,17018002,A017018002,1024,024 Fennagh,Carlow,South-East,SE,Southern,0,0
130,17018003,A017018003,1024,024 Fennagh,Carlow,South-East,SE,Southern,0,0
131,17019001,A017019001,1025,025 Garryhill,Carlow,South-East,SE,Southern,0,0
132,17019002,A017019002,1025,025 Garryhill,Carlow,South-East,SE,Southern,0,0
205,17020001,A017020001,1051,051 Glynn,Carlow,South-East,SE,Southern,1,2
133,17021001,A017021001,1026,026 Grangeford,Carlow,South-East,SE,Southern,0,0
134,17021002,A017021002,1026,026 Grangeford,Carlow,South-East,SE,Southern,1,7
33,17022001,A017022001,1004,004 Hacketstown,Carlow,South-East,SE,Southern,0,0
34,17022002,A017022002,1004,004 Hacketstown,Carlow,South-East,SE,Southern,0,0
35,17022003,A017022003,1004,004 Hacketstown,Carlow,South-East,SE,Southern,0,0
36,17022004,A017022004,1004,004 Hacketstown,Carlow,South-East,SE,Southern,0,0
37,17023001,A017023001,1005,005 Haroldstown,Carlow,South-East,SE,Southern,0,0
135,17024001,A017024001,1027,027 Johnstown,Carlow,South-East,SE,Southern,0,0
136,17024002,A017024002,1027,027 Johnstown,Carlow,South-East,SE,Southern,0,0
137,17025001,A017025001,1028,028 Kellistown,Carlow,South-East,SE,Southern,0,0
138,17025002,A017025002,1028,028 Kellistown,Carlow,South-East,SE,Southern,0,0
139,17025003,A017025003,1028,028 Kellistown,Carlow,South-East,SE,Southern,0,0
140,17026001,A017026001,1029,029 Kilbride,Carlow,South-East,SE,Southern,0,0
141,17026002,A017026002,1029,029 Kilbride,Carlow,South-East,SE,Southern,0,0
142,17027001,A017027001,1030,030 Killedmond,Carlow,South-East,SE,Southern,0,0
143,17027002,A017027002,1030,030 Killedmond,Carlow,South-East,SE,Southern,0,0
144,17028001,A017028001,1031,031 Killerrig,Carlow,South-East,SE,Southern,0,0
38,17029001,A017029001,1006,006 Kineagh,Carlow,South-East,SE,Southern,0,0
206,17030001,A017030001,1052,052 Kyle,Carlow,South-East,SE,Southern,0,0
145,17031001,A017031001,1032,032 Leighlinbridge,Carlow,South-East,SE,Southern,0,0
146,17031002,A017031002,1032,032 Leighlinbridge,Carlow,South-East,SE,Southern,0,0
147,17031003,A017031003,1032,032 Leighlinbridge,Carlow,South-East,SE,Southern,1,5
148,17031004,A017031004,1032,032 Leighlinbridge,Carlow,South-East,SE,Southern,0,0
149,17031005,A017031005,1032,032 Leighlinbridge,Carlow,South-East,SE,Southern,0,0
150,17031006,A017031006,1032,032 Leighlinbridge,Carlow,South-East,SE,Southern,0,0
207,17032001,A017032001,1053,053 Marley,Carlow,South-East,SE,Southern,0,0
151,17033001,A017033001,1033,033 Muinebeag (Bagenalstown) Rural,Carlow,South-East,SE,Southern,0,0
152,17033002,A017033002,1033,033 Muinebeag (Bagenalstown) Rural,Carlow,South-East,SE,Southern,0,0
153,17034001,A017034001,1034,034 Muinebeag (Bagenalstown) Urban,Carlow,South-East,SE,Southern,1,18
154,17034002,A017034002,1034,034 Muinebeag (Bagenalstown) Urban,Carlow,South-East,SE,Southern,0,0
155,17034003,A017034003,1034,034 Muinebeag (Bagenalstown) Urban,Carlow,South-East,SE,Southern,0,0
156,17034004,A017034004,1034,034 Muinebeag (Bagenalstown) Urban,Carlow,South-East,SE,Southern,0,0
157,17034005,A017034005,1034,034 Muinebeag (Bagenalstown) Urban,Carlow,South-East,SE,Southern,0,0
158,17034006,A017034006,1034,034 Muinebeag (Bagenalstown) Urban,Carlow,South-East,SE,Southern,0,0
159,17034007,A017034007,1034,034 Muinebeag (Bagenalstown) Urban,Carlow,South-East,SE,Southern,0,0
160,17034008,A017034008,1034,034 Muinebeag (Bagenalstown) Urban,Carlow,South-East,SE,Southern,1,8
161,17034009,A017034009,1034,034 Muinebeag (Bagenalstown) Urban,Carlow,South-East,SE,Southern,0,0
162,17034010,A017034010,1034,034 Muinebeag (Bagenalstown) Urban,Carlow,South-East,SE,Southern,0,0
163,17034011,A017034011,1034,034 Muinebeag (Bagenalstown) Urban,Carlow,South-East,SE,Southern,0,0
164,17035001,A017035001,1035,035 Myshall,Carlow,South-East,SE,Southern,0,0
165,17035002,A017035002,1035,035 Myshall,Carlow,South-East,SE,Southern,0,0
166,17036001,A017036001,1036,036 Nurney,Carlow,South-East,SE,Southern,0,0
167,17036002,A017036002,1036,036 Nurney,Carlow,South-East,SE,Southern,0,0
168,17036003,A017036003,1036,036 Nurney,Carlow,South-East,SE,Southern,0,0
169,17037001,A017037001,1037,037 Oldleighlin,Carlow,South-East,SE,Southern,0,0
170,17037002,A017037002,1037,037 Oldleighlin,Carlow,South-East,SE,Southern,0,0
39,17038001,A017038001,1007,007 Rahill,Carlow,South-East,SE,Southern,0,0
40,17038002,A017038002,1007,007 Rahill,Carlow,South-East,SE,Southern,0,0
41,17038003,A017038003,1007,007 Rahill,Carlow,South-East,SE,Southern,0,0
171,17039001,A017039001,1038,038 Rathanna,Carlow,South-East,SE,Southern,0,0
173,17041001,A017041001,1040,040 Rathrush,Carlow,South-East,SE,Southern,0,0
174,17041002,A017041002,1040,040 Rathrush,Carlow,South-East,SE,Southern,0,0
175,17041003,A017041003,1040,040 Rathrush,Carlow,South-East,SE,Southern,0,0
42,17042001,A017042001,1008,008 Rathvilly,Carlow,South-East,SE,Southern,0,0
43,17042002,A017042002,1008,008 Rathvilly,Carlow,South-East,SE,Southern,0,0
44,17042003,A017042003,1008,008 Rathvilly,Carlow,South-East,SE,Southern,0,0
45,17042004,A017042004,1008,008 Rathvilly,Carlow,South-East,SE,Southern,0,0
176,17043001,A017043001,1041,041 Ridge,Carlow,South-East,SE,Southern,0,0
177,17044001,A017044001,1042,042 Shangarry,Carlow,South-East,SE,Southern,0,0
178,17044002,A017044002,1042,042 Shangarry,Carlow,South-East,SE,Southern,0,0
179,17045001,A017045001,1043,043 Sliguff,Carlow,South-East,SE,Southern,0,0
180,17045002,A017045002,1043,043 Sliguff,Carlow,South-East,SE,Southern,0,0
181,17046001,A017046001,1044,044 Tankardstown,Carlow,South-East,SE,Southern,0,0
182,17047001,A017047001,1045,045 Templepeter,Carlow,South-East,SE,Southern,0,0
183,17047002,A017047002,1045,045 Templepeter,Carlow,South-East,SE,Southern,0,0
46,17048001,A017048001,1009,009 Tiknock,Carlow,South-East,SE,Southern,0,0
208,17049001,A017049001,1054,054 Tinnahinch,Carlow,South-East,SE,Southern,2,4
209,17049002,A017049002,1054,054 Tinnahinch,Carlow,South-East,SE,Southern,0,0
