GEOG_ID,AIRO_AI_ID,ED_Ward,ED_WARD_ID,County_UD,Country,House/Bungalow,Flat/Apartment/BedSit,Caravan/Mobile home/Temperory,% House/Bungalow,% Flat/Apartment/BedSit,% Caravan/Mobile home/Temperory
N00000037,18525,Crumlin,95AA06,Antrim,NI,118,8,0,93.7,6.3,0
N00000038,18526,Crumlin,95AA06,Antrim,NI,141,1,0,99.3,0.7,0
N00000039,18527,Crumlin,95AA06,Antrim,NI,408,65,0,86.3,13.7,0
N00000040,18528,Crumlin,95AA06,Antrim,NI,99,17,0,85.3,14.7,0
N00000041,18529,Crumlin,95AA06,Antrim,NI,141,3,0,97.9,2.1,0
N00000042,18530,Crumlin,95AA06,Antrim,NI,127,1,0,99.2,0.8,0
N00000043,18531,Crumlin,95AA06,Antrim,NI,354,26,0,93.2,6.8,0
N00000044,18532,Crumlin,95AA06,Antrim,NI,116,4,0,96.7,3.3,0
N00000045,18533,Drumanaway,95AA07,Antrim,NI,176,0,0,100,0,0
N00000046,18534,Drumanaway,95AA07,Antrim,NI,133,1,1,98.5,0.7,0.7
N00000047,18535,Drumanaway,95AA07,Antrim,NI,139,0,1,99.3,0,0.7
N00000048,18536,Drumanaway,95AA07,Antrim,NI,121,11,0,91.7,8.3,0
N00000049,18537,Drumanaway,95AA07,Antrim,NI,124,5,0,96.1,3.9,0
N00000050,18538,Drumanaway,95AA07,Antrim,NI,141,1,0,99.3,0.7,0
N00000051,18539,Farranshane,95AA08,Antrim,NI,128,1,0,99.2,0.8,0
N00000052,18540,Farranshane,95AA08,Antrim,NI,122,1,0,99.2,0.8,0
N00000053,18541,Farranshane,95AA08,Antrim,NI,95,27,0,77.9,22.1,0
N00000054,18542,Farranshane,95AA08,Antrim,NI,117,0,0,100,0,0
N00000055,18543,Farranshane,95AA08,Antrim,NI,122,0,0,100,0,0
N00000056,18544,Farranshane,95AA08,Antrim,NI,113,8,0,93.4,6.6,0
N00000057,18545,Fountain Hill,95AA09,Antrim,NI,107,17,0,86.3,13.7,0
N00000058,18546,Fountain Hill,95AA09,Antrim,NI,111,12,1,89.5,9.7,0.8
N00000059,18547,Fountain Hill,95AA09,Antrim,NI,81,35,0,69.8,30.2,0
N00000060,18548,Fountain Hill,95AA09,Antrim,NI,154,31,0,83.2,16.8,0
N00000061,18549,Fountain Hill,95AA09,Antrim,NI,118,12,0,90.8,9.2,0
N00000062,18550,Fountain Hill,95AA09,Antrim,NI,135,3,0,97.8,2.2,0
N00000063,18551,Fountain Hill,95AA09,Antrim,NI,135,23,0,85.4,14.6,0
N00000064,18552,Greystone,95AA10,Antrim,NI,89,47,0,65.4,34.6,0
N00000065,18553,Greystone,95AA10,Antrim,NI,147,0,0,100,0,0
N00000066,18554,Greystone,95AA10,Antrim,NI,116,0,0,100,0,0
N00000067,18555,Greystone,95AA10,Antrim,NI,128,12,0,91.4,8.6,0
N00000068,18556,Greystone,95AA10,Antrim,NI,125,1,0,99.2,0.8,0
N00000069,18557,Greystone,95AA10,Antrim,NI,121,26,0,82.3,17.7,0
N00000070,18558,Massereene,95AA11,Antrim,NI,105,0,0,100,0,0
N00000071,18559,Massereene,95AA11,Antrim,NI,133,15,0,89.9,10.1,0
N00000072,18560,Massereene,95AA11,Antrim,NI,629,14,0,97.8,2.2,0
N00000073,18561,Massereene,95AA11,Antrim,NI,186,77,0,70.7,29.3,0
N00000074,18562,Massereene,95AA11,Antrim,NI,383,9,0,97.7,2.3,0
N00000075,18563,Massereene,95AA11,Antrim,NI,107,7,0,93.9,6.1,0
N00000076,18564,Massereene,95AA11,Antrim,NI,116,0,0,100,0,0
N00000077,18565,Massereene,95AA11,Antrim,NI,100,0,0,100,0,0
N00000078,18566,Massereene,95AA11,Antrim,NI,161,2,0,98.8,1.2,0
N00000079,18567,Parkgate,95AA12,Antrim,NI,199,1,0,99.5,0.5,0
N00000080,18568,Parkgate,95AA12,Antrim,NI,146,0,0,100,0,0
N00000081,18569,Parkgate,95AA12,Antrim,NI,142,2,0,98.6,1.4,0
N00000082,18570,Parkgate,95AA12,Antrim,NI,144,2,0,98.6,1.4,0
N00000083,18571,Parkgate,95AA12,Antrim,NI,215,0,1,99.5,0,0.5
N00000084,18572,Parkgate,95AA12,Antrim,NI,160,1,1,98.8,0.6,0.6
N00000085,18573,Randalstown,95AA13,Antrim,NI,142,71,0,66.7,33.3,0
N00000086,18574,Randalstown,95AA13,Antrim,NI,146,4,0,97.3,2.7,0
N00000087,18575,Randalstown,95AA13,Antrim,NI,316,2,0,99.4,0.6,0
